Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,7.77552285313732E-06,-1.69842184760682E-09,-0.115856256969532,0,0,0,31.4788377167438,4.89103024628363,0.00034064408531168,-2.42692419521412E-05,6.68859591272049,-1.20305741955873E-10,3.14797684055325,0,0,0,0,0,0,package://Design2_URDF1/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Design2_URDF1/meshes/base_link.STL,,fra;e-1;Assem1^Design2-1;Copy of Assem3^Design2-1;Assem2^Design2-1;Assem4^Design2-1,Coordinate System_ref,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Link_Mover1.axis1,0.0357215911718378,0.000393315685542905,-3.75316749767762E-06,0,0,0,0.145088633428799,0.000111475094518422,-3.28817350187451E-06,-1.88615816658921E-08,0.000122125993810361,6.00938334133986E-09,0.000169211962599875,0,0,0,0,0,0,package://Design2_URDF1/meshes/Link_Mover1.axis1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Design2_URDF1/meshes/Link_Mover1.axis1.STL,,Mover1.axis1-1,Coordinate System_Mover1_axis1,Axis_1,Jorint_Mover1.axis1,prismatic,0.26431,0.2821,0.39528,0,0,0,base_link,0,0,1,0,0,0,0,,,,,,,,
Link_Mover2.axis1,0.0357222087653524,0.000393495955632872,-3.76842647886733E-06,0,0,0,0.145090014350478,0.000111475472699915,-3.28986976781675E-06,-1.86883622508031E-08,0.000122131785874611,6.0508518805303E-09,0.000169218366002444,0,0,0,0,0,0,package://Design2_URDF1/meshes/Link_Mover2.axis1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Design2_URDF1/meshes/Link_Mover2.axis1.STL,,Mover2.axis1-1,Coordinate System_Mover2_axis1,Axis_1,Joint_Mover2.axis1,prismatic,0.26431,0.2821,0.078473,0,0,0,base_link,0,0,1,0,0,0,0,,,,,,,,
Link_Mover1.axis2,0.0357215911299953,0.00039331573578183,-3.75320022572012E-06,0,0,0,0.145088633860156,0.000111475094711921,-3.28817336714939E-06,-1.88616657107814E-08,0.000122125994007448,6.00947123353196E-09,0.000169211962882183,0,0,0,0,0,0,package://Design2_URDF1/meshes/Link_Mover1.axis2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Design2_URDF1/meshes/Link_Mover1.axis2.STL,,Mover1.axis2-1,Coordinate System_Mover1_axis2,Axis_2,Joint_Mover1.axis2,prismatic,0.26436,-0.2788,0.17645,0,0,0,base_link,0,0,1,0,0,0,0,,,,,,,,
Link_Mover2.axis2,0.0357222087653986,0.000393495955375744,-3.76842676819145E-06,0,0,0,0.145090014350477,0.000111475472699914,-3.28986976781528E-06,-1.86883622497356E-08,0.00012213178587461,6.05085188040552E-09,0.000169218366002443,0,0,0,0,0,0,package://Design2_URDF1/meshes/Link_Mover2.axis2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Design2_URDF1/meshes/Link_Mover2.axis2.STL,,Mover2.axis2-1,Coordinate System_Mover2_axis2,Axis_2,Joint_Mover2.axis2,prismatic,0.26431,-0.2788,0.0055681,0,0,0,base_link,0,0,1,0,0,0,0,,,,,,,,
Link_Mover1.axis3,-0.0357215912080666,-0.000393315649787063,-3.75314275347094E-06,0,0,0,0.14508863311794,0.00011147509436892,-3.28817360039239E-06,1.88615193151173E-08,0.000122125993667216,-6.00931475461585E-09,0.000169211962393422,0,0,0,0,0,0,package://Design2_URDF1/meshes/Link_Mover1.axis3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Design2_URDF1/meshes/Link_Mover1.axis3.STL,,Mover1.axis3-1,Coordinate System_Mover1_axis3,Axis_3,Joint_Mover1.axis3,prismatic,-0.26431,-0.2821,-0.23642,0,0,0,base_link,0,0,1,0,0,0,0,,,,,,,,
Link_Mover2.axis3,-0.035722208798179,-0.000393495924419174,-3.76840718074867E-06,0,0,0,0.145090014110246,0.000111475472585015,-3.28986984402597E-06,1.86883140551166E-08,0.000122131785763703,-6.05079907523453E-09,0.00016921836584362,0,0,0,0,0,0,package://Design2_URDF1/meshes/Link_Mover2.axis3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Design2_URDF1/meshes/Link_Mover2.axis3.STL,,Mover2.axis3-1,Coordinate System_Mover2_axis3,Axis_3,Joint_Mover2.axis3,prismatic,-0.26431,-0.2821,-0.414,0,0,0,base_link,0,0,1,0,0,0,0,,,,,,,,
Link_Mover1.axis4,-0.0357215912077704,-0.000393315649558357,-3.75314274836391E-06,0,0,0,0.145088633117937,0.000111475094368916,-3.28817360039385E-06,1.88615193146689E-08,0.000122125993667212,-6.00931475267959E-09,0.000169211962393415,0,0,0,0,0,0,package://Design2_URDF1/meshes/Link_Mover1.axis4.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Design2_URDF1/meshes/Link_Mover1.axis4.STL,,Mover1.axis4-1,Coordinate System_Mover1_axis4,Axis_4,Joint_Mover1.axis4,prismatic,-0.26261,0.2771,0.18561,0,0,0,base_link,0,0,1,0,0,0,0,,,,,,,,
Link_Mover2.axis4,-0.0357222087969467,-0.000393495924414289,-3.76840718152582E-06,0,0,0,0.145090014110244,0.000111475472585014,-3.28986984402771E-06,1.86883140638181E-08,0.000122131785763703,-6.05079907565868E-09,0.000169218365843617,0,0,0,0,0,0,package://Design2_URDF1/meshes/Link_Mover2.axis4.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Design2_URDF1/meshes/Link_Mover2.axis4.STL,,Mover2.axis4-1,Coordinate System_Mover2_axis4,Axis_4,Joint_Mover2.axis4,prismatic,-0.26271,0.2788,-0.38134,0,0,0,base_link,0,0,1,0,0,0,0,,,,,,,,
Link_end.effector,1.11022302462516E-16,0,-0.004,0,0,0,0.0912632665867837,6.32479144763635E-05,-2.86928274979317E-21,-1.6418175689775E-23,6.32479144763635E-05,1.62347489887783E-21,0.000102621048443149,0,0,0,0,0,0,package://Design2_URDF1/meshes/Link_end.effector.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Design2_URDF1/meshes/Link_end.effector.STL,,1.bakje-1,Coordinate System13,,Joint_end.effector,fixed,-2.0425,2.0192,-0.09618,0,0,0,base_link,0,0,0,,,,,,,,,,,,
